fund_ein,manager_ein,manager_name,fee_paid
822482495,465061538,TWELVE POINTS WEALTH MANAGEMENT LLC,11657.0
201632876,161124166,"PAYCHEX, INC.",11916.0
264086627,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,0.0
30415090,133036745,"ADP, INC.",55.0
820962487,231945930,"THE VANGUARD GROUP, INC.",1430.0
201897663,231945930,"THE VANGUARD GROUP, INC.",1560.0
710653502,420127290,PRINCIPAL LIFE INSURANCE COMPANY,54433.0
710653502,364317381,MORNINGSTAR INVESTMENT MANAGEMENT L,0.0
710653502,952755361,WILSHIRE ADVISORS LLC,0.0
541527978,231315351,THE BENECON GROUP,42317.0
541527978,391995276,UMR,24673.0
541527978,542000731,SIMA BENEFITS CONSULTING GROUP,19800.0
942993379,455091060,CREATIVE PLANNING,55850.0
942993379,201301962,TPP RETIREMENT PLAN SPECIALISTS,11951.0
272493878,231315351,"THE BENECON GROUP, LLC",53775.0
272493878,233086396,"E. K. MCCONKEY & CO., INC.",20430.0
272493878,230455154,CAPITAL BLUECROSS,-16950.0
911879291,410746749,CLIFTONLARSONALLEN LLP,14964.0
473326478,133036745,"ADP, INC.",6733.0
251675849,231315351,THE BENECON GROUP,25026.0
251675849,233086396,"E. K. MCCONKEY & CO., INC.",7532.0
941369591,113665754,ASCENSUS LLC,27547.0
956101110,10233346,JOHN HANCOCK LIFE INSURANCE COMPANY,444.0
204046036,231315351,THE BENECON GROUP,191165.0
204046036,231294723,HIGHMARK INC,114659.0
113580024,131624203,TIAA,
832145136,42675571,COMMONWEALTH FIANCIAL SERVICES,20919.0
832145136,470098400,AMERITAS LIFE INSURANCE CORP,128.0
200423081,421479618,PRINCIPAL GLOBAL INVESTORS,12764.0
470899236,231315351,THE BENECON GROUP,68405.0
470899236,830185720,HUB (ID),25865.0
470899236,161264154,MERITAIN HEALTH,11729.0
232610181,231294723,HIGHMARK BLUE SHIELD (CENTRAL),-1750.0
520849036,351140070,LINCOLN NATIONAL CORPORATION,57343.0
520849036,863678481,MAP RETIREMENT USA LLC,1900.0
141442607,456062081,ALERUS,15082.0
141442607,208307105,BAM ADVISOR SERVICES LLC,13758.0
141442607,208307105,FOCUS PARTNERS ADVISOR SOLUTIONS,27779.0
520695019,351140070,LINCOLN NATIONAL CORPORATION,15478.0
520695019,364291971,ARTHUR J GALLAGHER & CO,9434.0
113367953,133646501,JOHN HANCOCK NEW YORK,148.0
751238018,742305238,"BOON CHAPMAN, LTD",44463.0
751238018,261870141,"BEVCAP MANAGEMENT, LLC",34496.0
751238018,760663719,BALDWIN GROUP,28281.0
751238018,66033492,AETNA-PPO,21116.0
751238018,261870141,BEVCAP HEALTH CAPTIVE - NC,12542.0
410417830,411852523,"DDMN ASO, LLC",2175.0
341663157,456062081,"ALERUS FINANCIAL, N.A.",32395.0
341663157,825501752,"ELLSWORTH ADVISORS, LLC",24712.0
341663157,541172176,SIKICH CPA LLC,13000.0
412038882,231315351,THE BENECON GROUP LLC,1581.0
134233377,420127290,PRINCIPAL LIFE INSURANCE COMPANY,23570.0
134233377,364317381,MORNINGSTAR INVESTMENT MANAGEMENT L,0.0
46622861,231980475,KREISCHER MILLER,54553.0
